1,"INSTRUMENTO PARTICULAR DE ESCRITURA DA [●] EMISSÃO DE DEBÊNTURES SIMPLES,
NÃO CONVERSÍVEIS EM AÇÕES, DA ESPÉCIE [●], [COM GARANTIA [●]], EM [SÉRIE ÚNICA
/ [ATÉ] [●] SÉRIES], PARA DISTRIBUIÇÃO PÚBLICA, [COM ESFORÇOS RESTRITOS DE
DISTRIBUIÇÃO,] DA [●]",0,1
2,,0,2
3,"
[DENOMINAÇÃO], sociedade anônima [com/sem] registro de capital aberto perante a
Comissão de Valores Mobiliários (“CVM”), com sede na Cidade [●], Estado [●], na
[endereço], inscrita no Cadastro Nacional da Pessoa Jurídica do Ministério da Fazenda
(“CNPJ/MF”) sob o nº [●], neste ato representada por seus representantes legais
devidamente autorizados e identificados nas páginas de assinaturas do presente
instrumento (“Emissora” ou “Companhia”)",1,3
3," neste ato representada por seus representantes legais
devidamente autorizados e identificados nas páginas de assinaturas do presente
instrumento (“Emissora” ou “Companhia”)",0,1
4,"e, de outro lado,",0,2
5,"[DENOMINAÇÃO], instituição financeira autorizada a funcionar pelo Banco Central, com
sede na Cidade [●], Estado [●], na [endereço], inscrita no CNPJ/MF sob o nº [--], neste ato
representada por seu(s) representante(s) legal(is) devidamente autorizado(s) e
identificado(s) nas páginas de assinaturas do presente instrumento (“Agente Fiduciário”),
na qualidade de representante dos titulares das Debêntures (conforme abaixo definido)
(“Debenturistas”);",1,3
6,"[e, ainda, na qualidade de interveniente,",0,1
7,"[DENOMINAÇÃO], [tipo societário], com sede na Cidade [●], Estado [●], na [endereço],
inscrita no CNPJ/MF sob o nº [●], neste ato representada por seus representantes legais
devidamente autorizados e identificados nas páginas de assinaturas do presente
instrumento (“Garantidora”);]",1,2
8,"sendo a Emissora, o Agente Fiduciário [e a Garantidora] doravante denominados, em
conjunto, como “Partes” e, individual e indistintamente, como “Parte”;",1,3
9,"vêm, por meio desta e na melhor forma de direito, firmar o presente “Instrumento
Particular de Escritura da [●] Emissão de Debêntures Simples, Não Conversíveis em Ações,
da Espécie [●], [com Garantia [●]], [em Série Única / em [até] [●] Séries], para Distribuição
Pública, [com Esforços Restritos de Distribuição,] da [●]” (“Escritura” ou “Escritura de
Emissão”), mediante as seguintes cláusulas e condições:",-1,1
10,"CLÁUSULA I
AUTORIZAÇÃO",1,2
11,"1.1. A presente Escritura é firmada com base nas deliberações da [Assembleia Geral
Extraordinária de acionistas da Emissora realizada em [●] de [●] de [●] (“AGE da
Emissora”) / da Reunião do Conselho de Administração da Companhia realizada em [●] de
[●] de [●] (“RCA da Emissora”)], na qual: (i) foram aprovadas as condições da Emissão
(conforme abaixo definido), nos termos do artigo 59 da Lei nº 6.404, de 15 de dezembro
de 1976, conforme alterada (“Lei das Sociedades por Ações”);",1,3
12," e (ii) a Diretoria da
Companhia foi autorizada a praticar todos os atos necessários à efetivação das
deliberações ali consubstanciadas, incluindo a celebração de todos os documentos
necessários à concretização da Emissão (conforme abaixo definido)[, dentre os quais o
aditamento a esta Escritura de Emissão [que ratificará o resultado do Procedimento de
Bookbuilding (conforme abaixo definido)].",1,1
13,"[1.2. A Garantia (conforme abaixo definido) foi aprovada com base nas deliberações da
[Assembleia Geral Extraordinária de acionistas da Garantidora realizada em [●] de [●] de
[●] (“AGE da Garantidora”) e/ou da Reunião do Conselho de Administração da
Garantidora, realizada em [●] de [●] de [●] (“RCA da Garantidora”)].]",1,2
14,"CLÁUSULA II
REQUISITOS",1,3
15,"A [●] emissão de debêntures simples, não conversíveis em ações, da espécie [●], [com
garantia [●]], [em série única / em [até] [●] séries], da Emissora (“Emissão” e
“Debêntures”, respectivamente), para distribuição pública, [com esforços restritos de
distribuição, nos termos da Instrução da Comissão de Valores Mobiliários (“CVM”) nº 476,
de 16 de janeiro de 2009, conforme alterada (“Instrução CVM 476” e “Oferta”,
respectivamente)] / [nos termos da Instrução da Comissão de Valores Mobiliários (“CVM”)
nº 400, de 29 de dezembro de 2003, conforme alterada (“Instrução CVM 400” e “Oferta”,
respectivamente)], será realizada com observância aos requisitos abaixo. 
",0,1
16,[2.1. Dispensa de Registro na CVM ,1,2
17,"2.1.1. Nos termos do artigo 6º da Instrução CVM 476 a Oferta está automaticamente respectivamente, da Instrução CVM nº 476 (“Comunicação de Início” e “Comunicação de
Encerramento”, respectivamente).]
dispensada de registro perante a CVM, e do artigo 19 da Lei nº 6.385, de 7 de dezembro de
1976, conforme alterada, por se tratar de oferta pública de valores mobiliários, com
esforços restritos de distribuição, não sendo objeto de protocolo, registro e arquivamento
perante a CVM, exceto pelo envio da comunicação sobre o início da Oferta e a
comunicação de seu encerramento à CVM, nos termos dos artigos 7º-A e 8º, ",1,3
19,"[2.1. Registro na CVM e na Associação Brasileira das Entidades dos Mercados Financeiro
e de Capitais (“ANBIMA”)",-1,1
19,"2.1.1. A Oferta será devidamente registrada na CVM na forma da Lei nº 6.385, de 7 de
dezembro de 1976, conforme alterada, da Lei das Sociedades por Ações, da Instrução da
CVM nº 400, de 29 de dezembro de 2003, conforme alterada (“Instrução CVM 400”), [da
Instrução da CVM nº 471, de 8 de agosto de 2008 (“Instrução CVM 471”), do Convênio
CVM/ANBIMA de Procedimento Simplificado para o Registro de Ofertas Públicas, regulado
pela Instrução CVM 471, celebrado entre a CVM e a Associação Brasileira das Entidades
dos Mercados Financeiro e de Capitais (“ANBIMA”), em 20 de agosto de 2008, conforme
alterado (“Convênio CVM-ANBIMA”)], e das demais disposições legais, regulamentares e
autorregulatórias aplicáveis.]",-1,2
20,"[2.2. Registro na Associação Brasileira das Entidades dos Mercados Financeiro e de
Capitais (“ANBIMA”) ",1,3
21,"2.2.1. Por se tratar de oferta pública com esforços restritos de distribuição, a Oferta
poderá vir a ser registrada na ANBIMA, nos termos do parágrafo 2º do artigo 1° do “Código
ANBIMA de Regulação e Melhores Práticas para as Ofertas Públicas de Distribuição e
Aquisição de Valores Mobiliários”, atualmente em vigor (“Código ANBIMA”),
exclusivamente para fins de envio de informações para a base de dados da ANBIMA, nos
termos do artigo 8º do Código ANBIMA, desde que sejam expedidas diretrizes específicas
nesse sentido pelo Conselho de Regulação e Melhores Práticas da ANBIMA, até o
momento do protocolo de Comunicação de Encerramento da Emissão na CVM.]",-1,1